Process Name,PID,Operation,Path,Result,Detail,Date & Time,Event Class,Image Path,User,Command Line,TID,Parent PID,Content,LineID,srcEvent
wevtutil.exe,9732,RegCloseKey,HKCU,SUCCESS,,4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegCloseKey HKCU SUCCESS None 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",317,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegOpenKey,HKLM\Software\Policies\Microsoft\MUI\Settings,NAME NOT FOUND,Desired Access: Read,4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegOpenKey HKLM\Software\Policies\Microsoft\MUI\Settings NAME NOT FOUND Desired Access: Read 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",318,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegOpenKey,HKCU,SUCCESS,"Desired Access: Maximum Allowed, Granted Access: All Access",4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegOpenKey HKCU SUCCESS Desired Access: Maximum Allowed, Granted Access: All Access 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",319,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegOpenKey,HKCU\Software\Policies\Microsoft\Control Panel\Desktop,NAME NOT FOUND,Desired Access: Read,4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegOpenKey HKCU\Software\Policies\Microsoft\Control Panel\Desktop NAME NOT FOUND Desired Access: Read 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",320,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegOpenKey,HKCU\Control Panel\Desktop,SUCCESS,Desired Access: Read,4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegOpenKey HKCU\Control Panel\Desktop SUCCESS Desired Access: Read 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",321,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegQueryValue,HKCU\Control Panel\Desktop\PreferredUILanguages,NAME NOT FOUND,Length: 12,4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegQueryValue HKCU\Control Panel\Desktop\PreferredUILanguages NAME NOT FOUND Length: 12 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",322,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegCloseKey,HKCU\Control Panel\Desktop,SUCCESS,,4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegCloseKey HKCU\Control Panel\Desktop SUCCESS None 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",323,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegCloseKey,HKCU,SUCCESS,,4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegCloseKey HKCU SUCCESS None 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",324,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegOpenKey,HKLM\Software\Policies\Microsoft\MUI\Settings,NAME NOT FOUND,Desired Access: Read,4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegOpenKey HKLM\Software\Policies\Microsoft\MUI\Settings NAME NOT FOUND Desired Access: Read 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",325,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegOpenKey,HKCU,SUCCESS,"Desired Access: Maximum Allowed, Granted Access: All Access",4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegOpenKey HKCU SUCCESS Desired Access: Maximum Allowed, Granted Access: All Access 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",326,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegOpenKey,HKCU\Software\Policies\Microsoft\Control Panel\Desktop,NAME NOT FOUND,Desired Access: Read,4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegOpenKey HKCU\Software\Policies\Microsoft\Control Panel\Desktop NAME NOT FOUND Desired Access: Read 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",327,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegOpenKey,HKCU\Control Panel\Desktop\LanguageConfiguration,NAME NOT FOUND,Desired Access: Read,4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegOpenKey HKCU\Control Panel\Desktop\LanguageConfiguration NAME NOT FOUND Desired Access: Read 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",328,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegCloseKey,HKCU,SUCCESS,,4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegCloseKey HKCU SUCCESS None 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",329,94f51bf01a7036fe02d07b4c18967669_raw_events
wevtutil.exe,9732,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\000603xx,SUCCESS,"Type: REG_SZ, Length: 26, Data: kernel32.dll",4/14/2022 1:40:02 PM,Registry,C:\Windows\system32\wevtutil.exe,BLUETEAM\ezk,"wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false",3096,6480,"wevtutil.exe 9732 RegQueryValue HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\000603xx SUCCESS Type: REG_SZ, Length: 26, Data: kernel32.dll 4/14/2022 1:40:02 PM Registry C:\Windows\system32\wevtutil.exe BLUETEAM\ezk wevtutil  sl ""Microsoft-Windows-IKE/Operational"" /e:false 3096 6480",330,94f51bf01a7036fe02d07b4c18967669_raw_events
